Filename	Time	MD5 Identifier	Encoding Version	Lang	Application Identifier	Application Description	Application Version	Application Reference URL	S3 URL
2024-l2-topics-combined-2.grobid.tei.xml	2024-02-16T19:27+0000	E7BD4E4FA567D6C4DF9DD2A90C1CD577	UTF-8	en	GROBID	GROBID - A machine learning software for extracting information from scholarly documents	0.8.0	https://github.com/kermitt2/grobid	https://cfa-data-t2.s3.amazonaws.com/Grobid/Grobid_RR_2024_2_combined.txt
2024-l1-topics-combined-2.grobid.tei.xml	2024-02-16T19:27+0000	BD4A63060A9D7A1A09FFB3F7114CA6E0	UTF-8	en	GROBID	GROBID - A machine learning software for extracting information from scholarly documents	0.8.0	https://github.com/kermitt2/grobid	https://cfa-data-t2.s3.amazonaws.com/Grobid/Grobid_RR_2024_1_combined.txt
2024-l3-topics-combined-2.grobid.tei.xml	2024-02-16T19:27+0000	9680F98C1504134C55D67425E27190A1	UTF-8	en	GROBID	GROBID - A machine learning software for extracting information from scholarly documents	0.8.0	https://github.com/kermitt2/grobid	https://cfa-data-t2.s3.amazonaws.com/Grobid/Grobid_RR_2024_3_combined.txt
